Cislo Univerzity,Nazev Univerzity,Rok,Nalezene Cislo,Cislo Stranky,
22,VSPJ,2017,,15,
22,VSPJ,2018,,14,
22,VSPJ,2019,0,19,
22,VSPJ,2023,0,51,
22,VSPJ,2022,0,54,
22,VSPJ,2020,0,47,
22,VSPJ,2021,17,46,
25,VUT,2013,2 791,45,
25,VUT,2015,1 986,48,
25,VUT,2016,958,33,
25,VUT,2017,"1 374
152 918
4 736
945",31,
25,VUT,2019,3 274,35,
25,VUT,2020,3 818,38,
25,VUT,2021,4 061,38,
25,VUT,2022,3 177,41,
25,VUT,2023,12 057,41,
25,VUT,2014,1 018,46,
26,ZCU,2013,313,38,
26,ZCU,2015,2 251,60,
26,ZCU,2017,2 106,74,
26,ZCU,2021,533,81,
01,AMU,2013,68,104,
01,AMU,2014,347,112,
01,AMU,2015,478,124,
01,AMU,2016,273,105,
01,AMU,2017,868,116,
01,AMU,2018,267,106,
01,AMU,2019,263,130,
01,AMU,2020,716,142,
01,AMU,2021,869,121,
01,AMU,2022,785,147,
01,AMU,2023,1 269,146,
02,AVU,2023,0,20,
02,AVU,2023,0,49,
02,AVU,2021,0,32,
02,AVU,2019,0,29,
02,AVU,2013,0,30,
02,AVU,2016,0,25,
02,AVU,2017,0,30,
02,AVU,2018,0,26,
02,AVU,2020,0,32,
02,AVU,2014,0,25,
02,AVU,2015,0,24,
03,CVUT,2019,2 171,21,
03,CVUT,2020,1 227,19,
03,CVUT,2023,1 851,20,
03,CVUT,2023,4 413,19,
03,CVUT,2024,4 733,19,
04,CZU,2023,20,30,
04,CZU,2022,56,30,
05,JAMU,2013,0,37,
05,JAMU,2014,0,36,
05,JAMU,2015,0,34,
05,JAMU,2016,0,32,
05,JAMU,2017,"0,00",34,
05,JAMU,2018,"0,00",37,
05,JAMU,2019,"0,00",40,
05,JAMU,2020,0,37,
05,JAMU,2021,0,39,
05,JAMU,2022,0,42,
05,JAMU,2023,0,39,
06,JU,2014,"113,14",47,
06,JU,2013,"53,63",50,
06,JU,2015,"65,89",50,
06,JU,2016,62,47,
06,JU,2020,289,45,
06,JU,2022,84,46,
06,JU,2023,5 387,44,
06,JU,2017,56,50,
06,JU,2018,260,48,
06,JU,2019,104,50,
06,JU,2021,72,50,
07,MU,2013,1 717,50,
07,MU,2014,173,49,
07,MU,2015,398,45,
08,MENDELU,2014,1 990,26,
08,MENDELU,2017,2 465,27,
08,MENDELU,2018,2 236,34,
08,MENDELU,2021,2 350,32,
08,MENDELU,2019,2 065,32,
08,MENDELU,2022,2 382,38,
08,MENDELU,2023,3 525,33,
09,OU,2013,0,47,
09,OU,2014,0,47,
09,OU,2015,0,47,
09,OU,2016,0,47,
09,OU,2017,0,47,
09,OU,2018,0,48,
09,OU,2019,0,50,
09,OU,2020,2,49,
09,OU,2021,1,50,
09,OU,2022,187,51,
09,OU,2023,226,52,
10,SU,2022,149,61,
10,SU,2023,120,48,
10,SU,2015,0,68,
10,SU,2016,0,67,
10,SU,2017,0,65,
10,SU,2018,0,64,
10,SU,2019,0,66,
10,SU,2021,0,74,
10,SU,2020,0,74,
11,TUL,2014,6 301,25,
11,TUL,2015,1 489,25,
11,TUL,2016,1. 732,31,
11,TUL,2017,1.831,31,
11,TUL,2018,971,31,
11,TUL,2019,612,31,
11,TUL,2020,836,31,
11,TUL,2021,1 801,37,
11,TUL,2022,213,43,
12,UHK,2013,0,26,
12,UHK,2014,0,26,
12,UHK,2015,0,26,
12,UHK,2016,0,24,
12,UHK,2017,3,24,
12,UHK,2020,848,25,
12,UHK,2021,39,25,
12,UHK,2022,30,25,
12,UHK,2023,851,25,
14,UK,8533,1 175,65,
14,UK,8533,360,54,
14,UK,8533,705,63,
14,UK,8533,787,60,
14,UK,8533,1 038,60,
14,UK,8533,226,61,
14,UK,8533,797,66,
14,UK,8533,1 185,58,
14,UK,8533,2 503,57,
14,UK,8533,488,57,
14,UK,8533,764,66,
15,UP,2021,1 834,56,
15,UP,2013,129,30,
15,UP,2014,1 968,30,
15,UP,2015,1 968,31,
15,UP,2016,738,29,
15,UP,2017,12,52,
15,UP,2018,2 740,52,
15,UP,2019,2 183,57,
15,UP,2020,1 625,57,
15,UP,2022,2 076,58,
15,UP,2023,3 082,50,
17,UTB,2013,,56,
17,UTB,2016,80,77,
17,UTB,2017,100,74,
17,UTB,2018,114,73,
17,UTB,2019,156,74,
17,UTB,2020,144,74,
17,UTB,2021,172,71,
17,UTB,2015,28,57,
17,UTB,2022,166,73,
17,UTB,2014,119,56,
18,VETUNI,2017,5,62,
18,VETUNI,2023,0,67,
18,VETUNI,2014,5,66,
18,VETUNI,2016,5,62,
18,VETUNI,2015,5,64,
18,VETUNI,2020,10,64,
18,VETUNI,2013,5,64,
18,VETUNI,2022,0,67,
18,VETUNI,2018,5,64,
18,VETUNI,2019,0,64,
18,VETUNI,2021,0,64,
19,VSB-TUO,2014,56,31,
19,VSB-TUO,2014,3 504,31,
19,VSB-TUO,2015,544,32,
19,VSB-TUO,2016,200,34,
19,VSB-TUO,2019,558,41,
19,VSB-TUO,2013,1 610,31,
19,VSB-TUO,2013,2 352,31,
19,VSB-TUO,2022,0,42,
19,VSB-TUO,2023,0,42,
19,VSB-TUO,2021,694,42,
19,VSB-TUO,2017,500,30,
20,VSE,2013,0,25,
20,VSE,2014,0,26,
20,VSE,2015,0,29,
20,VSE,2016,0,29,
20,VSE,2017,0,30,
20,VSE,2018,0,31,
20,VSE,2020,0,32,
20,VSE,2021,0,30,
20,VSE,2022,19,30,
20,VSE,2023,0,29,
20,VSE,2019,0,30,
