ID_prijmy_univerzity,Nazev_univerzity,ID_univerzita,Licencni_prijem,Rok
1,01_AMU,1,68,2013
2,01_AMU,1,347,2014
3,01_AMU,1,478,2015
4,01_AMU,1,273,2016
5,01_AMU,1,868,2017
6,01_AMU,1,267,2018
7,01_AMU,1,263,2019
8,01_AMU,1,716,2020
9,01_AMU,1,869,2021
10,01_AMU,1,785,2022
11,01_AMU,1,1269,2023
12,02_AVU,2,0,2013
13,02_AVU,2,0,2014
14,02_AVU,2,0,2015
15,02_AVU,2,0,2016
16,02_AVU,2,0,2017
17,02_AVU,2,0,2018
18,02_AVU,2,0,2019
19,02_AVU,2,0,2020
20,02_AVU,2,0,2021
21,02_AVU,2,0,2022
22,02_AVU,2,0,2023
23,03_CVUT,3,1971,2014
24,03_CVUT,3,2071,2015
25,03_CVUT,3,2171,2016
26,03_CVUT,3,1851,2017
27,03_CVUT,3,2171,2018
28,03_CVUT,3,1227,2019
29,03_CVUT,3,2980,2020
30,03_CVUT,3,4498,2021
31,03_CVUT,3,4413,2022
32,03_CVUT,3,4733,2023
33,04_CZU,4,0,2013
34,04_CZU,4,230,2014
35,04_CZU,4,20,2015
36,04_CZU,4,0,2016
37,04_CZU,4,16,2017
38,04_CZU,4,72,2018
39,04_CZU,4,110,2019
40,04_CZU,4,0,2020
41,04_CZU,4,0,2021
42,04_CZU,4,56,2022
43,04_CZU,4,20,2023
44,05_JAMU,5,0,2013
45,05_JAMU,5,0,2014
46,05_JAMU,5,0,2015
47,05_JAMU,5,0,2016
48,05_JAMU,5,0,2017
49,05_JAMU,5,0,2018
50,05_JAMU,5,0,2019
51,05_JAMU,5,0,2020
52,05_JAMU,5,0,2021
53,05_JAMU,5,0,2022
54,05_JAMU,5,0,2023
55,06_JU,6,53,2013
56,06_JU,6,113,2014
57,06_JU,6,65,2015
58,06_JU,6,62,2016
59,06_JU,6,56,2017
60,06_JU,6,260,2018
61,06_JU,6,104,2019
62,06_JU,6,289,2020
63,06_JU,6,72,2021
64,06_JU,6,84,2022
65,06_JU,6,5387,2023
66,07_MU,7,173,2014
67,07_MU,7,398,2015
68,07_MU,7,770,2016
69,07_MU,7,1924,2017
70,07_MU,7,431,2018
71,07_MU,7,1502,2019
72,07_MU,7,5029,2020
73,07_MU,7,1525,2021
74,07_MU,7,3328,2022
75,07_MU,7,1828,2023
76,08_MENDELU,8,1990,2014
77,08_MENDELU,8,2547,2015
78,08_MENDELU,8,2109,2016
79,08_MENDELU,8,2465,2017
80,08_MENDELU,8,2236,2018
81,08_MENDELU,8,2065,2019
82,08_MENDELU,8,2259,2020
83,08_MENDELU,8,2350,2021
84,08_MENDELU,8,2382,2022
85,08_MENDELU,8,3525,2023
86,09_OU,9,0,2014
87,09_OU,9,0,2015
88,09_OU,9,0,2016
89,09_OU,9,0,2017
90,09_OU,9,0,2018
91,09_OU,9,0,2019
92,09_OU,9,2,2020
93,09_OU,9,1,2021
94,09_OU,9,187,2022
95,09_OU,9,226,2023
96,10_SU,10,0,2013
97,10_SU,10,0,2014
98,10_SU,10,0,2015
99,10_SU,10,0,2016
100,10_SU,10,0,2017
101,10_SU,10,0,2018
102,10_SU,10,0,2019
103,10_SU,10,0,2020
104,10_SU,10,0,2021
105,10_SU,10,149,2022
106,10_SU,10,120,2023
107,11_TUL,11,6301,2014
108,11_TUL,11,1489,2015
109,11_TUL,11,1732,2016
110,11_TUL,11,1831,2017
111,11_TUL,11,971,2018
112,11_TUL,11,612,2019
113,11_TUL,11,836,2020
114,11_TUL,11,1801,2021
115,11_TUL,11,213,2022
116,11_TUL,11,1165,2023
117,12_UHK,12,0,2013
118,12_UHK,12,0,2014
119,12_UHK,12,0,2015
120,12_UHK,12,0,2016
121,12_UHK,12,3,2017
122,12_UHK,12,10,2018
123,12_UHK,12,130,2019
124,12_UHK,12,848,2020
125,12_UHK,12,39,2021
126,12_UHK,12,30,2022
127,12_UHK,12,851,2023
128,13_UJEP,13,0,2014
129,13_UJEP,13,0,2015
130,13_UJEP,13,0,2016
131,13_UJEP,13,165,2017
132,13_UJEP,13,725,2018
133,13_UJEP,13,29,2019
134,13_UJEP,13,114,2020
135,13_UJEP,13,0,2021
136,13_UJEP,13,0,2022
137,13_UJEP,13,0,2023
138,14_UK,14,1175,2013
139,14_UK,14,226,2014
140,14_UK,14,797,2015
141,14_UK,14,1185,2016
142,14_UK,14,360,2017
143,14_UK,14,2503,2018
144,14_UK,14,488,2019
145,14_UK,14,787,2020
146,14_UK,14,1038,2021
147,14_UK,14,705,2022
148,14_UK,14,764,2023
149,15_UP,15,129,2013
150,15_UP,15,1968,2014
151,15_UP,15,1968,2015
152,15_UP,15,738,2016
153,15_UP,15,12,2017
154,15_UP,15,2740,2018
155,15_UP,15,2183,2019
156,15_UP,15,1625,2020
157,15_UP,15,1834,2021
158,15_UP,15,2076,2022
159,15_UP,15,382,2023
160,16_UPCE,16,100,2014
161,16_UPCE,16,0,2015
162,16_UPCE,16,50,2016
163,16_UPCE,16,454,2017
164,16_UPCE,16,637,2018
165,16_UPCE,16,117,2019
166,16_UPCE,16,299,2020
167,16_UPCE,16,2503,2021
168,16_UPCE,16,830,2022
169,16_UPCE,16,2458,2023
170,17_UTB,17,119,2014
171,17_UTB,17,28,2015
172,17_UTB,17,80,2016
173,17_UTB,17,100,2017
174,17_UTB,17,114,2018
175,17_UTB,17,156,2019
176,17_UTB,17,144,2020
177,17_UTB,17,172,2021
178,17_UTB,17,166,2022
179,17_UTB,17,222,2023
180,18_VETUNI,18,5,2013
181,18_VETUNI,18,5,2014
182,18_VETUNI,18,5,2015
183,18_VETUNI,18,5,2016
184,18_VETUNI,18,5,2017
185,18_VETUNI,18,5,2018
186,18_VETUNI,18,0,2019
187,18_VETUNI,18,10,2020
188,18_VETUNI,18,0,2021
189,18_VETUNI,18,0,2022
190,18_VETUNI,18,0,2023
191,19_VSB-TUO,19,1610,2013
192,19_VSB-TUO,19,56,2014
193,19_VSB-TUO,19,544,2015
194,19_VSB-TUO,19,200,2016
195,19_VSB-TUO,19,500,2017
196,19_VSB-TUO,19,414,2018
197,19_VSB-TUO,19,558,2019
198,19_VSB-TUO,19,1092,2020
199,19_VSB-TUO,19,694,2021
200,19_VSB-TUO,19,530,2022
201,19_VSB-TUO,19,2007,2023
202,20_VSE,20,0,2013
203,20_VSE,20,0,2014
204,20_VSE,20,0,2015
205,20_VSE,20,0,2016
206,20_VSE,20,0,2017
207,20_VSE,20,0,2018
208,20_VSE,20,0,2019
209,20_VSE,20,0,2020
210,20_VSE,20,0,2021
211,20_VSE,20,19,2022
212,20_VSE,20,0,2023
213,21_VSCHT,21,195,2013
214,21_VSCHT,21,25,2014
215,21_VSCHT,21,0,2015
216,21_VSCHT,21,10,2016
217,21_VSCHT,21,0,2017
218,21_VSCHT,21,0,2018
219,21_VSCHT,21,0,2019
220,21_VSCHT,21,129,2020
221,21_VSCHT,21,371,2021
222,21_VSCHT,21,500,2022
223,21_VSCHT,21,2482,2023
224,22_VSPJ,22,0,2014
225,22_VSPJ,22,0,2015
226,22_VSPJ,22,0,2016
227,22_VSPJ,22,0,2017
228,22_VSPJ,22,0,2018
229,22_VSPJ,22,0,2019
230,22_VSPJ,22,0,2020
231,22_VSPJ,22,17,2021
232,22_VSPJ,22,0,2022
233,22_VSPJ,22,0,2023
234,23_VSTE,23,0,2013
235,23_VSTE,23,0,2014
236,23_VSTE,23,0,2015
237,23_VSTE,23,0,2016
238,23_VSTE,23,0,2017
